lambda,mu,mean_utility_gap,std_utility_gap
0.5,0.5,0.00023109723809524216,0.0010469744197346064
0.5,1.0,0.0006390859676850418,0.0016852750695082411
0.5,1.5,0.0006852718651209363,0.0016861426443523784
0.5,2.0,0.0006852718651209363,0.0016861426443523784
0.5,2.5,0.0006852718651209363,0.0016861426443523784
1.0,0.5,0.0006852718651209363,0.0016861426443523784
1.0,1.0,0.0006852718651209363,0.0016861426443523784
1.0,1.5,0.0006852718651209363,0.0016861426443523784
1.0,2.0,0.0006852718651209363,0.0016861426443523784
1.0,2.5,0.0006852718651209363,0.0016861426443523784
1.5,0.5,0.0006852718651209363,0.0016861426443523784
1.5,1.0,0.0006852718651209363,0.0016861426443523784
1.5,1.5,0.0006852718651209363,0.0016861426443523784
1.5,2.0,0.0006852718651209363,0.0016861426443523784
1.5,2.5,0.0006852718651209363,0.0016861426443523784
2.0,0.5,0.0006852718651209363,0.0016861426443523784
2.0,1.0,0.0006852718651209363,0.0016861426443523784
2.0,1.5,0.0006852718651209363,0.0016861426443523784
2.0,2.0,0.0006852718651209363,0.0016861426443523784
2.0,2.5,0.0006852718651209363,0.0016861426443523784
2.5,0.5,0.0006852718651209363,0.0016861426443523784
2.5,1.0,0.0006852718651209363,0.0016861426443523784
2.5,1.5,0.0006852718651209363,0.0016861426443523784
2.5,2.0,0.0006852718651209363,0.0016861426443523784
2.5,2.5,0.0006852718651209363,0.0016861426443523784
