run,seed,t,policy,selected,true_acc,true_lat_ms,true_rel,true_utility,sigma_q_selected,sigma_a_selected,sigma_q_A,sigma_q_B,sigma_a_A,sigma_a_B,failover_event,utility_a,utility_b
10,52,0,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,0,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,0,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,1,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,1,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,1,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,2,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,2,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,2,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,3,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,3,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,3,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,1,0.943,0.8855
10,52,4,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,4,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,4,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,5,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,5,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,5,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,6,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,6,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,6,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,7,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,7,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,7,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,8,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,8,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,8,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,9,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,9,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,9,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,10,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,10,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,10,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,11,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,11,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,11,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,12,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,12,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,12,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,13,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,13,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,13,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,14,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,14,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,14,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,15,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,15,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,15,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,16,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,16,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,16,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,17,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
10,52,17,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
