run,seed,t,policy,selected,true_acc,true_lat_ms,true_rel,true_utility,sigma_q_selected,sigma_a_selected,sigma_q_A,sigma_q_B,sigma_a_A,sigma_a_B,failover_event,utility_a,utility_b
14,56,0,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,0,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,0,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,1,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,1,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,1,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,2,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,2,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,2,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,3,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,3,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,3,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,4,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,4,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,4,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,5,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,5,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,5,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,6,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,6,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,6,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,7,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,7,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,7,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,8,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,8,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,8,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,9,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,9,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,9,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,10,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,10,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,10,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,11,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,11,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,11,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,1,0.943,0.8855
14,56,12,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,12,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,12,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,13,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,13,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,13,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,14,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,14,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,14,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,15,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,15,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,15,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
14,56,16,baseline,prov_a,0.8514,14.3664,0.89112,0.866289,0.096152,0.068076,0.096152,0.02,0.068076,0.02,0,0.866289,0.8855
14,56,16,qos_aware,prov_a,0.8514,14.3664,0.89112,0.866289,0.096152,0.068076,0.096152,0.02,0.068076,0.02,0,0.866289,0.8855
14,56,16,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.096152,0.02,0.068076,0.02,0,0.866289,0.8855
14,56,17,baseline,prov_a,0.732744,17.2141,0.796195,0.773975,0.115588,0.077794,0.115588,0.02,0.077794,0.02,0,0.773975,0.8855
14,56,17,qos_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.115588,0.02,0.077794,0.02,1,0.773975,0.8855
14,56,17,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.115588,0.02,0.077794,0.02,0,0.773975,0.8855
14,56,18,baseline,prov_a,0.614088,20.0619,0.70127,0.68166,0.135025,0.087513,0.135025,0.02,0.087513,0.02,0,0.68166,0.8855
14,56,18,qos_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.135025,0.02,0.087513,0.02,0,0.68166,0.8855
14,56,18,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.135025,0.02,0.087513,0.02,0,0.68166,0.8855
14,56,19,baseline,prov_a,0.495432,22.9096,0.606346,0.589346,0.154462,0.097231,0.154462,0.02,0.097231,0.02,0,0.589346,0.8855
14,56,19,qos_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.154462,0.02,0.097231,0.02,0,0.589346,0.8855
14,56,19,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.154462,0.02,0.097231,0.02,0,0.589346,0.8855
14,56,20,baseline,prov_a,0.376776,25.7574,0.511421,0.497032,0.173899,0.10695,0.173899,0.02,0.10695,0.02,0,0.497032,0.8855
14,56,20,qos_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.173899,0.02,0.10695,0.02,0,0.497032,0.8855
14,56,20,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.173899,0.02,0.10695,0.02,0,0.497032,0.8855
14,56,21,baseline,prov_a,0.25812,28.6051,0.416496,0.404717,0.193336,0.116668,0.193336,0.02,0.116668,0.02,0,0.404717,0.8855
14,56,21,qos_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.193336,0.02,0.116668,0.02,0,0.404717,0.8855
14,56,21,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.193336,0.02,0.116668,0.02,0,0.404717,0.8855
14,56,22,baseline,prov_a,0.139464,31.4529,0.321571,0.312403,0.212773,0.126387,0.212773,0.02,0.126387,0.02,0,0.312403,0.8855
14,56,22,qos_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.212773,0.02,0.126387,0.02,0,0.312403,0.8855
14,56,22,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.212773,0.02,0.126387,0.02,0,0.312403,0.8855
14,56,23,baseline,prov_a,0.020808,34.3006,0.226646,0.220088,0.23221,0.136105,0.23221,0.02,0.136105,0.02,0,0.220088,0.8855
14,56,23,qos_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.23221,0.02,0.136105,0.02,0,0.220088,0.8855
14,56,23,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.23221,0.02,0.136105,0.02,0,0.220088,0.8855
14,56,24,baseline,prov_a,0.0,37.1484,0.131721,0.171806,0.251647,0.145824,0.251647,0.02,0.145824,0.02,0,0.171806,0.8855
14,56,24,qos_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.251647,0.02,0.145824,0.02,0,0.171806,0.8855
14,56,24,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.251647,0.02,0.145824,0.02,0,0.171806,0.8855
