run,seed,t,policy,selected,true_acc,true_lat_ms,true_rel,true_utility,sigma_q_selected,sigma_a_selected,sigma_q_A,sigma_q_B,sigma_a_A,sigma_a_B,failover_event,utility_a,utility_b
17,59,0,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,0,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,0,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,1,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,1,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,1,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,2,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,2,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,2,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,3,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,3,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,3,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,4,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,4,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,4,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,5,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,5,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,5,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,6,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,6,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,6,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,7,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,7,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,7,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,8,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,8,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,8,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,9,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,9,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,9,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,10,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,10,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,10,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,11,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,11,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,11,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,1,0.943,0.8855
17,59,12,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,12,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,12,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,13,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,13,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,13,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,14,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,14,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,14,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,15,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,15,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,15,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,16,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,16,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,16,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,17,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,17,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,17,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,18,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,18,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,18,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,19,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,19,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,19,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,20,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,20,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,20,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,21,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,21,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,21,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,22,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,22,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,22,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,23,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,23,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,23,uncertainty_aware,prov_b,0.88,18.0,0.93,0.8855,0.02,0.02,0.08,0.02,0.06,0.02,0,0.943,0.8855
17,59,24,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.024322,0.06,0.022881,0,0.943,0.850999
17,59,24,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.024322,0.06,0.022881,0,0.943,0.850999
17,59,24,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.024322,0.06,0.022881,1,0.943,0.850999
17,59,25,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.030167,0.06,0.026778,0,0.943,0.804333
17,59,25,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.030167,0.06,0.026778,0,0.943,0.804333
17,59,25,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.030167,0.06,0.026778,0,0.943,0.804333
17,59,26,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.036012,0.06,0.030675,0,0.943,0.757668
17,59,26,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.036012,0.06,0.030675,0,0.943,0.757668
17,59,26,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.036012,0.06,0.030675,0,0.943,0.757668
17,59,27,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.041858,0.06,0.034572,0,0.943,0.711003
17,59,27,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.041858,0.06,0.034572,0,0.943,0.711003
17,59,27,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.041858,0.06,0.034572,0,0.943,0.711003
17,59,28,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.047703,0.06,0.038469,0,0.943,0.664338
17,59,28,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.047703,0.06,0.038469,0,0.943,0.664338
17,59,28,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.047703,0.06,0.038469,0,0.943,0.664338
17,59,29,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.053548,0.06,0.042366,0,0.943,0.617672
17,59,29,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.053548,0.06,0.042366,0,0.943,0.617672
17,59,29,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.053548,0.06,0.042366,0,0.943,0.617672
17,59,30,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.059394,0.06,0.046263,0,0.943,0.571007
17,59,30,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.059394,0.06,0.046263,0,0.943,0.571007
17,59,30,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.059394,0.06,0.046263,0,0.943,0.571007
17,59,31,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.065239,0.06,0.050159,0,0.943,0.524342
17,59,31,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.065239,0.06,0.050159,0,0.943,0.524342
17,59,31,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.065239,0.06,0.050159,0,0.943,0.524342
17,59,32,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.071084,0.06,0.054056,0,0.943,0.477677
17,59,32,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.071084,0.06,0.054056,0,0.943,0.477677
17,59,32,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.071084,0.06,0.054056,0,0.943,0.477677
17,59,33,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.07693,0.06,0.057953,0,0.943,0.431012
17,59,33,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.07693,0.06,0.057953,0,0.943,0.431012
17,59,33,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.07693,0.06,0.057953,0,0.943,0.431012
17,59,34,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.08,0.06,0.06,0,0.943,0.02
17,59,34,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.08,0.06,0.06,0,0.943,0.02
17,59,34,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.08,0.06,0.06,0,0.943,0.02
17,59,35,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.08,0.06,0.06,0,0.943,0.02
17,59,35,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.08,0.06,0.06,0,0.943,0.02
17,59,35,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.08,0.06,0.06,0,0.943,0.02
17,59,36,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.08,0.06,0.06,0,0.943,0.02
17,59,36,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.08,0.06,0.06,0,0.943,0.02
17,59,36,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.08,0.06,0.06,0,0.943,0.02
17,59,37,baseline,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.08,0.06,0.06,0,0.943,0.02
17,59,37,qos_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.08,0.06,0.06,0,0.943,0.02
17,59,37,uncertainty_aware,prov_a,0.95,12.0,0.97,0.943,0.08,0.06,0.08,0.08,0.06,0.06,0,0.943,0.02
